492364,100000085825,Вода,/45152,/70782,/70783,/70784,/70785,/70786,/70787,/70788,/70789,/70790,/70791,/70792,/70793,/70794,/UA-000000000-000009395
492347,100000085825,Вода,/45192,/70768,/70769,/70770,/70771,/70772,/70773,/70774,/70775,/70776,/70777,/70778,/70779,/70780,/UA-000000000-000009405
492335,,*спори полірезистентного штаму bacillus clausii,/49052,/70749,/70750,/70751,/UA-000000000-000011193
492309,,*квітки липи,/50300,/UA-000000000-000011777
492308,,*квітки липи,/50301,/UA-000000000-000011777
492302,,*пагонів леспедези двоколірної,/50292,/UA-000000000-000011773
492301,,*пагонів леспедези двоколірної,/50291,/UA-000000000-000011773
492290,,*лепехи кореневища,/50289,/UA-000000000-000011771
492289,,*лепехи кореневища,/50288,/UA-000000000-000011771
492288,,*лепехи кореневища,/50287,/UA-000000000-000011771
492281,,*ламінарії,/70719,/UA-000000000-000011730
492280,,*ламінарії,/70718,/UA-000000000-000011730
492279,,*ламінарії,/50184,/UA-000000000-000011730
492272,,*кукурудзи стовпчики з приймочками (zeae maydis styli cum stigmatis),/50122,/UA-000000000-000011696
492271,,*кукурудзи стовпчики з приймочками (zeae maydis styli cum stigmatis),/50121,/UA-000000000-000011696
492265,,*urticae folia (кропиви листя),/58931,/UA-000000000-000011678
492264,,*urticae folia (кропиви листя),/58930,/UA-000000000-000011678
492263,,*urticae folia (кропиви листя),/58929,/UA-000000000-000011678
492262,,*urticae folia (кропиви листя),/58928,/UA-000000000-000011678
492237,100000090211,Хлорфенаміну малеат,/49958,/UA-000000000-000011613
492236,100000089693,Кофеїн,/49958,/UA-000000000-000011613
492235,100000086036,Аскорбінова кислота,/49958,/UA-000000000-000011613
492234,100000090270,Парацетамол,/49958,/UA-000000000-000011613
492217,100000078521,Сахарин натрію,/70686,/UA-000000000-000037947
492216,100000083527,Натрію цикламат,/70686,/UA-000000000-000037947
492215,100000079337,Гідрокарбонат натрію,/70686,/UA-000000000-000037947
492214,100000093142,Лимонна кислота,/70686,/UA-000000000-000037947
492213,,*лимонний ароматизатор evogran,/70686,/UA-000000000-000037947
492212,100000078762,Тальк,/70686,/UA-000000000-000037947
492211,100000089026,РИБОФЛАВІНУ НАТРІЮ ФОСФАТ,/70686,/UA-000000000-000037947
492210,100000092381,Повідон,/70686,/UA-000000000-000037947
492209,100000090211,Хлорфенаміну малеат,/70686,/UA-000000000-000037947
492208,100000089693,Кофеїн,/70686,/UA-000000000-000037947
492207,100000086036,Аскорбінова кислота,/70686,/UA-000000000-000037947
492206,100000090270,Парацетамол,/70686,/UA-000000000-000037947
492175,,*квасолі стулки плодів (phaseoli valvae fructum),/49883,/UA-000000000-000011563
