200000000004,pharmaceuticaldoseform,Pharmaceutical Dose Form,Фармацевтична дозована форма,2,
200000000013,administrationmethod,Administration Method,Спосіб введення,1,
100000155688,applicationsubmissiontype,Application Submission Type,Тип подання заявки,1,
200000000009,basicdoseform,Basic Dose Form,Основна дозована форма,1,
200000000007,combinedterm,Combined Term,Комбінований термін,1,
,componenttype,Component type,Тип компоненти упаковки,1,
100000154441,contactpartyrole,Contact Party Role,Роль контактної сторони,1,
100000000002,country,Country,Країна,1,
200000004983,dataclassification,Data Classification,Класифікація даних,1,
,pediatricuseindicator,Pediatric Use Indicator,Індикатор педіатричного використання,1,
,intendedeffect,Intended Effect,Передбачуваний ефект,1,
100000098686,internationalnonproprietaryname,International Nonproprietary Name (INN),Міжнародна непатентована назва,1,
100000072057,language,Language,Мова,1,
100000072051,legalstatusforthesupply,Legal Status for the Supply,Правовий статус відпуску,1,
100000160406,manufacturingactivity,Manufacturing Activity,Виробнича діяльність,1,
,organisationmappingdesignation,Organisation mapping designation,Назва коду організації,1,
100000072052,marketingstatus,Marketing Status,Маркетинговий статус,1,
220000000070,masterfiletype,Master File Type,Тип шаблонного файла,1,
200000003199,material,Material,Матеріал,1,
100000075868,maximumdosetype,Maximum Dose Type,Тип максимальної дози,1,
200000025915,medicinalproducttype,Medicinal Product Type,Тип лікарського засобу,1,
200000027811,substanceorigin,Substance Origin,Походження речовини,1,
100000073346,packaging,Packaging,Упаковка,1,
200000000005,patientfriendlyterm,Patient Friendly Term,Скорочена назва форми випуску, зрозуміла пацієнту, коли на упаковці мало місця,1,
100000155526,productcategory,Product Category,Категорія продукту,1,
220000000017,productcrossreferencetype,Product Cross Reference Type,Тип перехресного посилання на продукт,1,
100000000008,quantityoperator,Quantity Operator,Оператор кількості,1,
200000018799,reasonmarketingunavailability,Reason for Marketing Unavailability,Причина недоступності маркетингу,1,
100000154442,regulatoryauthorisationprocedureeu,Regulatory Authorisation Procedure (EU),Процедура дозволу регуляторних органів ЄС,1,
220000000060,regulatoryentitlementtype,---,Правовий нормативний тип,1,
200000000010,releasecharacteristics,Release Characteristics,Характеристики вивільнення,1,
100000073343,shelflifetype,Shelf Life Type,Тип строку придатності,1,
100000000009,sourceofinformation,Source of Information,Джерело інформації,1,
100000073344,specialprecautionsforstorage,Special Precautions for Storage,Особливі умови зберігання,1,
200000000118,stateofmatter,State of Matter,Фізичний стан продукту,1,
100000110633,unitsofmeasurement,Units of Measurement,Одиниці вимірювання,2,
200000025965,typecombinedproduct,Medical Device Legislative Category,Тип комбінованого продукту,1,
200000000119,unitsofmeasurementdimension,Units of Measurement Dimension,Розмір одиниці вимірювання,1,
200000000120,unitsofmeasurementprefix,Units of Measurement Prefix,Префікс одиниць вимірювання,1,
200000000022,unitsofmeasurementtype,Units of Measurement Type,Тип одиниць вимірювання,1,
200000000014,unitsofpresentation,Units of Presentation,Одиниці представлення,1,
200000025960,medicaldeviceclassification,Medical Device Classification,Класи медичного виробу,1,
220000000031,organisationroletype,Organisation Role Type,Тип ролі організації,1,
100000072050,ingredientrole,Ingredient Role,Роль інгредієнта,1,
200000000324,xevmpdmedicinalproducttype,XEVMPD Medicinal Product Type,Тип лікарського засобу за системою XEVMPD,1,
100000075825,substancepilot,Substance (PILOT),Речовина (PILOT),1,
,usersorganization,User's organization,Організація користувача,9,
100000073345,routesandmethodsofadministration,Routes and Methods of Administration,Шляхи та способи введення,1,
,reasonsforchange,Reasons for change,Причини змін,1,
,authorisationnumbertype,Authorisation Number Type,Тип авторизації,1,
,locationrole,Location Role,Роль місцезнаходження,1,
,masterfileidentifiertype,Master File Identifier Type,Тип індентифікатора майстер-файлу,1,
,incidence,Incidence,Розповсюдженість серед пацієнтів,1,
,legalgrounds,Legal Grounds,Юридично-правові засади,1,
,conditionstorestore,Conditions To Restore,Умови для повернення в обіг,1,
,agerange,Age Range,Групи людей за віком,1,
,procreationbiologicaldesignation,Procreation Biological Designation,Групи людей по біологічно закладеній репродуктивній системі,1,
,populationrace,Population Race,Раси людей,1,
,physiologicalcondition,Physiological Condition,Фізіологічні умови в яких лікується популяція,1,
,therapyrelationshiptype,Therapy Relationship Type,Типи відношення між терапіями,1,
,organisationtype,Organisation Type,Тип організації,1,
,organisationcategory,Organisation Category,Категорія організації,1,
,medicinalproductgroups,Medicinal Product Groups,Групи лікарських засобів,1,
,additionalmonitoringindicator,Additional Monitoring Indicator,Додатковий індикатор моніторингу,1,
100000093533,atc,Anatomical Therapeutic Chemical classification system - Human (АТС),Анатомічна терапевтична хімічна система класифікації - Людина (АТС),1,
200000000008,combinationpackage,Combination Package,Комбінуюча упаковка,1,
200000000006,combinedpharmaceuticaldoseform,Combined Pharmaceutical Dose Form,Комбінована фармацевтична дозована форма,1,
100000000004,domain,Domain,Домен,1,
100000073349,dosageformcategory,Dosage Form Category,Категорія лікарської форми,1,
200000000012,intendedsite,Intended Site,Призначена частина тіла,1,
100000116045,marketingauthorisationapplicationlegalbasis,Marketing Authorisation Application Legal Basis,Правова основа заявки на отримання дозволу на продаж,1,
220000000000,medicinalproductnameparttype,Medicinal Product Name Part Type,Тип частини назви лікарського засобу,1,
100000155531,productinformationdocumenttype,Product Information Document Type,Тип документа з інформацією про продукт,1,
100000072049,regulatoryentitlementstatus,Regulatory Entitlement Status,Правовий нормативний статус,1,
200000000011,transformation,Transformation,Трансформація,1,
,devicenomenclaturesystem,Device nomenclature system,Системи номенклатури і класифікації медичних виробів,1,
,meddra,Medical Dictionary For Regulatory Activities (MedDRA),Медичний довідник для регуляторної діяльності,1,
