1,ua_33_1,2.0,Гранули в подвійній тубі,4,PharmaceuticalDoseForm
2,ua_33_2,2.0,Оромукозний мішечок,1,PharmaceuticalDoseForm
3,ua_33_3,2.0,Краплі нашкірні/вушні суспензія,3,PharmaceuticalDoseForm
4,ua_33_4,2.0,Ліофілізат для застосування в питній воді,1,PharmaceuticalDoseForm
5,ua_33_5,2.0,Екстракорпоральний розчин,5,PharmaceuticalDoseForm
6,ua_33_6,2.0,Ліофілізат для суспензії для введення спрею,4,PharmaceuticalDoseForm
7,ua_33_7,2.0,Порошок для суспензії для інфузії,3,PharmaceuticalDoseForm
8,ua_33_8,2.0,Ендотрахеопульмональна інстиляція,3,PharmaceuticalDoseForm
9,ua_33_9,2.0,Піна,3,PharmaceuticalDoseForm
10,ua_33_10,2.0,Порошок для суспензії,3,PharmaceuticalDoseForm
11,ua_33_11,2.0,Порошок для суспензії для розчину,3,PharmaceuticalDoseForm
12,ua_33_12,2.0,Розчин для зовнішнього застосування,3,PharmaceuticalDoseForm
13,ua_33_13,2.0,Стерильний концентрат,3,PharmaceuticalDoseForm
14,ua_33_14,2.0,Спрей для вух,3,PharmaceuticalDoseForm
15,ua_33_15,2.0,Порошок для розчину,3,PharmaceuticalDoseForm
16,ua_33_16,2.0,Олія,3,PharmaceuticalDoseForm
17,ua_33_17,2.0,Герметизуючий порошок,1,PharmaceuticalDoseForm
18,ua_33_18,2.0,Просочений тампон для обробки шкіри,1,PharmaceuticalDoseForm
19,ua_33_19,2.0,Песарій пролонгованої дії,1,PharmaceuticalDoseForm
20,ua_33_20,2.0,Концентрат для розчину для внутрішньоочного промивання,1,PharmaceuticalDoseForm
21,ua_33_21,2.0,Порошок для розчину для лікування риб,1,PharmaceuticalDoseForm
22,ua_33_22,2.0,Ліофілізат для пероральної суспензії,1,PharmaceuticalDoseForm
23,ua_33_23,2.0,Розчин для використання в питній воді/молоці,1,PharmaceuticalDoseForm
24,ua_33_24,2.0,Інтрамаммарний гель,1,PharmaceuticalDoseForm
25,ua_33_25,2.0,Розчин для ін’єкцій пролонгованої дії,1,PharmaceuticalDoseForm
26,ua_33_26,2.0,Уретральна емульсія,1,PharmaceuticalDoseForm
27,ua_33_27,2.0,Розчин і порошок для розчину,4,PharmaceuticalDoseForm
28,ua_33_28,2.0,Дисперсія для бджолиних вуликів,1,PharmaceuticalDoseForm
29,ua_33_29,2.0,Крупнодисперсний спрей,4,PharmaceuticalDoseForm
30,ua_33_30,2.0,Оральний спрей, суспензія,1,PharmaceuticalDoseForm
31,ua_33_31,2.0,Концентрат для концентрату для перорального спрею, суспензії,1,PharmaceuticalDoseForm
32,ua_33_32,2.0,Оромукозна плівка,1,PharmaceuticalDoseForm
33,ua_33_33,2.0,Лікарська форма не застосовується,1,PharmaceuticalDoseForm
34,ua_33_34,2.0,Дисперговані таблетки для дозатора,1,PharmaceuticalDoseForm
35,ua_33_35,2.0,Порошок для суспензії для ін’єкції пролонгованої дії,1,PharmaceuticalDoseForm
36,ua_33_36,2.0,Ларингофарингеальний спрей, розчин,1,PharmaceuticalDoseForm
37,ua_33_37,2.0,Матриця для імплантації матриці,1,PharmaceuticalDoseForm
38,ua_33_38,2.0,Краплі назальні, ліофілізат для суспензії,1,PharmaceuticalDoseForm
39,ua_33_39,2.0,Краплі назальні, порошок для приготування розчину,1,PharmaceuticalDoseForm
40,ua_33_40,2.0,Порошок для гелю,1,PharmaceuticalDoseForm
41,ua_33_41,2.0,Порошок для стоматологічного гелю,1,PharmaceuticalDoseForm
42,ua_33_42,2.0,Порошок для дисперсії для ін'єкції,1,PharmaceuticalDoseForm
43,ua_33_43,2.0,Порошок для ендоцервікального гелю,1,PharmaceuticalDoseForm
44,ua_33_44,2.0,Порошок для ендосінусового розчину,1,PharmaceuticalDoseForm
45,ua_33_45,2.0,Порошок для розчину для внутрішньоочної інстиляції,1,PharmaceuticalDoseForm
46,ua_33_46,2.0,Концентрат для концентрату для розчину для інфузії,1,PharmaceuticalDoseForm
47,ua_33_47,2.0,Концентрат для розчину для небулайзера,1,PharmaceuticalDoseForm
48,ua_33_48,2.0,Концентрат для оромукозного розчину,1,PharmaceuticalDoseForm
49,ua_33_49,2.0,Концентрат для суспензії для ін'єкції,1,PharmaceuticalDoseForm
50,ua_33_50,2.0,Дисперсія для концентрату для дисперсії для інфузії,1,PharmaceuticalDoseForm
51,ua_33_51,2.0,Краплі вушні, порошок для суспензії,1,PharmaceuticalDoseForm
52,ua_33_52,2.0,Шипучі гранули для суспензії для перорального застосування,1,PharmaceuticalDoseForm
