68942,*кислота аденозинтрифосфорна
68942,Натрію гідроксид
68942,Вода для ін'єкцій
68941,*кислота аденозинтрифосфорна
68941,Натрію гідроксид
68941,Вода для ін'єкцій
68940,*кислота аденозинтрифосфорна
68940,Натрію гідроксид
68940,Вода для ін'єкцій
68933,Цефуроксим
68933,Целюлоза, мікрокристалічна (тип 105)
68933,*кремнію діоксид колоїдний зневоднений
68933,Кроскармелоза натрію
68933,Натрію лаурилсульфат
68933,ГІДРОГЕНІЗОВАНА РОСЛИННА ОЛІЯ
68933,Гіпромелоза 2910
68933,Пропіленгліколь
68933,Титану діоксид
68933,Тальк
68928,Кальцію глюконат
68928,КАРТОПЛЯНИЙ КРОХМАЛЬ
68928,Тальк
68928,СТЕАРАТ КАЛЬЦІЮ
68922,Кальцію глюконат
68922,Кальцію сахарат
68922,Вода для ін'єкцій
68916,Мометазону фуроат
68916,Лимонної кислоти моногідрат
68916,Пропіленгліколь
68916,*ланоліновий спирт
68916,СПИРТ ЦЕТОСТЕАРИЛОВИЙ
68916,ГЛІЦЕРИЛУ МОНОСТЕАРАТ
68916,ПАРАФІН БІЛИЙ М'ЯКИЙ
68916,*олія мінеральна легка
68915,Цефуроксим
68915,ГІДРОГЕНІЗОВАНА РОСЛИННА ОЛІЯ
68915,Гіпромелоза 2910
68915,Пропіленгліколь
68915,Титану діоксид
68915,Тальк
68915,Целюлоза, мікрокристалічна (тип 105)
68915,*кремнію діоксид колоїдний зневоднений
68915,Кроскармелоза натрію
68915,Натрію лаурилсульфат
68909,Левофлоксацину гемігідрат
68909,ГЛЮКОЗА, БЕЗВОДНА
68909,Динатрію едетат
68909,ХЛОРОВОДНЕВА КИСЛОТА BP
68909,Вода для ін'єкцій
68908,Мометазону фуроат
68908,Титану діоксид
68908,БІЛИЙ ВІСК
68908,ПАРАФІН БІЛИЙ М'ЯКИЙ
68908,ФОСФОРНА КИСЛОТА КОНЦЕНТРОВАНА
68908,ВОДА, ОЧИЩЕНА
68908,Гексиленгліколь
68908,ПРОПІЛЕНГЛІКОЛЮ МОНОПАЛЬМІТОСТЕАРАТ
68908,Стеариловий спирт
68908,ЦЕТЕАРЕТ 30
68908,АЛЮМІНІЮ КРОХМАЛЬ ОКТЕНІЛУ СУКЦИНАТ
68907,Мометазону фуроат
68907,Титану діоксид
68907,БІЛИЙ ВІСК
68907,ПАРАФІН БІЛИЙ М'ЯКИЙ
68907,ФОСФОРНА КИСЛОТА КОНЦЕНТРОВАНА
68907,ВОДА, ОЧИЩЕНА
68907,Гексиленгліколь
68907,ПРОПІЛЕНГЛІКОЛЮ МОНОПАЛЬМІТОСТЕАРАТ
68907,Стеариловий спирт
68907,ЦЕТЕАРЕТ 30
68907,АЛЮМІНІЮ КРОХМАЛЬ ОКТЕНІЛУ СУКЦИНАТ
68892,Цефуроксим
68888,Капецитабін
68888,Лактоза безводна
68888,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68888,Кроскармелоза натрію
68888,Гіпромелоза
68888,Магнію стеарат
68888,Тальк
68888,Титану діоксид
68888,ЗАЛІЗА ОКСИД ЧЕРВОНИЙ (E172)
68888,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68888,Гіпромелоза
68879,Капецитабін
68879,Гіпромелоза
68879,Лактоза безводна
68879,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68879,Кроскармелоза натрію
68879,Гіпромелоза
68879,Магнію стеарат
68879,Тальк
68879,Титану діоксид
68879,ЗАЛІЗА ОКСИД ЧЕРВОНИЙ (E172)
68879,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68874,Гамма-бутиробетаїн
68874,Мельдонію дигідрат
68874,Низькозаміщена гідроксипропілцелюлоза (LH-B1)
68874,КАРТОПЛЯНИЙ КРОХМАЛЬ
68874,*кремнію діоксид колоїдний зневоднений
68874,Натрію стеарилфумарат
68873,Левокарнітин
68873,Яблучна кислота
68873,Сахарин натрію
68873,"Апельсин" ароматизатор
68873,ВОДА, ОЧИЩЕНА
68873,Натрію бензоат
68871,Цефуроксим
68863,Мемантину гідрохлорид
68863,Магнію стеарат
68863,*кремнію діоксид колоїдний зневоднений
68863,Гіпромелоза
68863,Титану діоксид
68863,Макрогол 400
68863,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68863,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68863,Кроскармелоза натрію
68862,Мемантину гідрохлорид
68862,Магнію стеарат
68862,*кремнію діоксид колоїдний зневоднений
68862,Гіпромелоза
68862,Титану діоксид
68862,Макрогол 400
68862,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68862,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68862,Кроскармелоза натрію
68861,Мемантину гідрохлорид
68861,Кроскармелоза натрію
68861,Магнію стеарат
68861,Гіпромелоза
68861,Титану діоксид
68861,Макрогол 400
68861,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68861,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68861,*кремнію діоксид колоїдний зневоднений
68860,Мемантину гідрохлорид
68860,Кроскармелоза натрію
68860,Магнію стеарат
68860,Гіпромелоза
68860,Титану діоксид
68860,Макрогол 400
68860,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68860,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68860,*кремнію діоксид колоїдний зневоднений
68844,Калію йодид
68844,Натрію хлорид
68844,Натрію тіосульфат
68844,Динатрію едетат
68844,ХЛОРГЕКСИДИНУ АЦЕТАТ
68844,ВОДА, ОЧИЩЕНА
68835,Мелоксикам
68835,Меглюмін
68835,Гліцин
68835,Полоксамер 188
68835,ГЛІКОФУРОЛ
68835,Натрію хлорид
68835,Натрію гідроксид
68835,Вода для ін'єкцій
68834,Мелоксикам
68834,Полоксамер 188
68834,ГЛІКОФУРОЛ
68834,Натрію хлорид
68834,Натрію гідроксид
68834,Вода для ін'єкцій
68834,Меглюмін
68834,Гліцин
68833,Мелоксикам
68833,Меглюмін
68833,Гліцин
68833,Полоксамер 188
68833,ГЛІКОФУРОЛ
68833,Натрію хлорид
68833,Натрію гідроксид
68833,Вода для ін'єкцій
68830,Азитроміцин
68830,Лимонної кислоти моногідрат
68830,Натрію гідроксид
68828,Калію йодид
68828,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68828,Кальцію гідрогену фосфат (безводний)
68828,Магнію стеарат
68828,Стеаринова кислота
68828,*кремнію діоксид колоїдний зневоднений
68828,Натрію тіосульфат
68827,Калію йодид
68827,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68827,Кальцію гідрогену фосфат (безводний)
68827,Магнію стеарат
68827,Стеаринова кислота
68827,*кремнію діоксид колоїдний зневоднений
68827,Натрію тіосульфат
68826,Калію йодид
68826,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68826,Кальцію гідрогену фосфат (безводний)
68826,Магнію стеарат
68826,Стеаринова кислота
68826,*кремнію діоксид колоїдний зневоднений
68826,Натрію тіосульфат
68815,Мелоксикам
68815,Лактози моногідрат
68815,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68815,Повідон
68815,Кросповідон
68815,Магнію стеарат
68815,Натрію цитрат
68815,*кремнію діоксид колоїдний зневоднений
68814,Мелоксикам
68814,Лактози моногідрат
68814,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68814,Повідон
68814,Кросповідон
68814,Магнію стеарат
68814,Натрію цитрат
68814,*кремнію діоксид колоїдний зневоднений
68813,Мелоксикам
68813,Натрію цитрат
68813,Лактози моногідрат
68813,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68813,Повідон
68813,КОЛОЇДНИЙ БЕЗВОДНИЙ КРЕМНІЮ ГІДРОКСИД
68813,Кросповідон
68813,Магнію стеарат
68795,Піридостигміну бромід
68795,Повідон
68795,*кремнію діоксид колоїдний зневоднений
68795,*кремнію діоксид осаджений
68795,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68795,Глутамінової кислоти гідрохлорид
68795,Магнію стеарат
68795,Кукурудзяний крохмаль
68789,Азитроміцин
68789,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68789,Кросповідон
68789,Етилцелюлоза
68789,Ізопропіловий спирт
68789,ДИХЛОРМЕТАН BP
68789,*кремнію діоксид колоїдний зневоднений
68789,Тальк
68789,Магнію стеарат
68789,ГІДРОКСИПРОПІЛ МЕТИЛЦЕЛЮЛОЗА 603
68789,Пропіленгліколь
68789,РИЦИНОВА ОЛІЯ
68789,Тальк
68789,Титану діоксид
68789,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68788,Азитроміцин
68788,Титану діоксид
68788,ОКСИД ЗАЛІЗА ЖОВТИЙ (E172)
68788,ЦЕЛЮЛОЗА МІКРОКРИСТАЛІЧНА
68788,Кросповідон
68788,Етилцелюлоза
68788,Ізопропіловий спирт
68788,ДИХЛОРМЕТАН BP
68788,*кремнію діоксид колоїдний зневоднений
68788,Тальк
68788,Магнію стеарат
68788,ГІДРОКСИПРОПІЛ МЕТИЛЦЕЛЮЛОЗА 603
68788,Пропіленгліколь
68788,РИЦИНОВА ОЛІЯ
68788,Тальк
68787,*цмину піщаного квітки
68786,Тербінафіну гідрохлорид
68786,Феноксіетанол
68786,Етилгексилгліцерин
68786,Пропіленгліколь
68786,Ізопропілміристат
68786,Диметикон
68786,Полісорбат 60
68786,Сорбітану стеарат
